ID,Store,Date,Temperature_Fahrenheit,Fuel_Price_USD,Consumer_Price_Index_CPI,Unemployment_percentage,Size_Sqft
01/10/201021,21,01/10/2010,70.28,2.603,211.33,8.163,140167
01/10/201044,44,01/10/2010,68.74,2.853,126.235,7.61,39910
01/10/201022,22,01/10/2010,69.31,2.717,136.63,8.572,119557
01/10/201012,12,01/10/2010,85.2,3.001,126.235,14.313,112238
01/10/20101,1,01/10/2010,71.89,2.603,211.672,7.838,151315
01/10/201030,30,01/10/2010,70.28,2.603,211.33,8.163,42988
01/10/201027,27,01/10/2010,70.19,2.84,136.63,8.021,204184
01/10/201032,32,01/10/2010,66.14,2.759,190.674,9.137,203007
01/10/201016,16,01/10/2010,59.39,2.759,190.674,6.986,57197
01/10/201015,15,01/10/2010,59.69,2.84,132.757,8.067,123737
01/10/201033,33,01/10/2010,91.45,3.001,126.235,9.265,39690
01/10/20107,7,01/10/2010,49.99,2.759,190.674,9.137,70713
01/10/201019,19,01/10/2010,59.91,2.84,132.757,8.067,203819
01/10/20103,3,01/10/2010,73.6,2.603,214.985,7.564,37392
01/10/201039,39,01/10/2010,72.74,2.603,210.44,8.476,184109
01/10/201036,36,01/10/2010,74.66,2.567,210.44,8.476,39910
01/10/20106,6,01/10/2010,70.69,2.603,213.191,7.007,202505
01/10/201034,34,01/10/2010,70.13,2.619,126.235,10.21,158114
01/10/201026,26,01/10/2010,57.8,2.717,132.757,8.149,152513
01/10/201014,14,01/10/2010,70.58,2.707,182.717,8.724,200898
01/10/201023,23,01/10/2010,62.07,2.717,132.757,5.287,114533
01/10/201010,10,01/10/2010,86.01,3.001,126.235,9.003,126512
01/10/201029,29,01/10/2010,69.31,2.717,132.757,10.524,93638
01/10/20102,2,01/10/2010,69.24,2.603,211.33,8.163,202307
01/10/20104,4,01/10/2010,63.96,2.619,126.235,7.127,205863
01/10/201020,20,01/10/2010,61.08,2.707,204.885,7.484,203742
01/10/20108,8,01/10/2010,68.7,2.603,215.031,6.433,155078
01/10/20109,9,01/10/2010,69.08,2.603,215.214,6.56,125833
01/10/20105,5,01/10/2010,71.1,2.603,212.227,6.768,34875
01/10/201024,24,01/10/2010,66.88,2.84,132.757,8.275,203819
01/10/201031,31,01/10/2010,70.28,2.603,211.33,8.163,203750
01/10/201045,45,01/10/2010,70.58,2.707,182.717,8.724,118221
01/10/201037,37,01/10/2010,74.66,2.603,210.44,8.476,39910
01/10/201013,13,01/10/2010,68.74,2.853,126.235,7.795,219622
01/10/201040,40,01/10/2010,62.01,2.717,132.757,5.287,155083
01/10/201042,42,01/10/2010,86.01,3.001,126.235,9.003,39690
01/10/201038,38,01/10/2010,85.2,3.001,126.235,14.313,39690
01/10/201035,35,01/10/2010,70.19,2.707,136.63,8.763,103681
01/10/201017,17,01/10/2010,60.07,2.853,126.235,6.885,93188
01/10/201041,41,01/10/2010,62.67,2.759,190.674,7.508,196321
01/10/201025,25,01/10/2010,57.56,2.707,204.885,7.484,128107
01/10/201018,18,01/10/2010,67.76,2.717,132.757,9.331,120653
01/10/201028,28,01/10/2010,85.2,3.001,126.235,14.313,206302
01/10/201011,11,01/10/2010,75.11,2.603,214.985,7.564,207499
01/10/201043,43,01/10/2010,77.93,2.603,203.593,10.21,41062
02/04/201015,15,02/04/2010,45.27,2.957,131.902,8.185,123737
02/04/201023,23,02/04/2010,40.5,2.826,131.902,5.435,114533
02/04/201033,33,02/04/2010,66.79,3.086,126.603,9.849,39690
02/04/20109,9,02/04/2010,65.21,2.719,214.347,6.384,125833
02/04/201012,12,02/04/2010,59.84,3.086,126.603,14.099,112238
02/04/201029,29,02/04/2010,44.96,2.826,131.902,10.16,93638
02/04/201010,10,02/04/2010,63.66,3.086,126.603,9.524,126512
02/04/201028,28,02/04/2010,59.84,3.086,126.603,14.099,206302
02/04/20103,3,02/04/2010,65.56,2.719,214.118,7.343,37392
02/04/201020,20,02/04/2010,51.0,2.85,204.025,7.856,203742
02/04/201039,39,02/04/2010,63.31,2.719,209.594,8.464,184109
02/04/20105,5,02/04/2010,63.18,2.719,211.373,6.465,34875
02/04/201034,34,02/04/2010,50.07,2.74,126.603,9.593,158114
02/04/201042,42,02/04/2010,63.66,3.086,126.603,9.524,39690
02/04/201022,22,02/04/2010,44.96,2.826,135.746,8.348,119557
02/04/20102,2,02/04/2010,63.27,2.719,210.48,8.2,202307
02/04/201027,27,02/04/2010,46.9,2.957,135.746,8.058,204184
02/04/201021,21,02/04/2010,64.12,2.719,210.48,8.2,140167
02/04/201030,30,02/04/2010,64.12,2.719,210.48,8.2,42988
02/04/201031,31,02/04/2010,64.12,2.719,210.48,8.2,203750
02/04/201045,45,02/04/2010,47.74,2.85,181.866,8.899,118221
02/04/201018,18,02/04/2010,45.63,2.826,131.902,9.269,120653
02/04/201025,25,02/04/2010,47.2,2.85,204.025,7.856,128107
02/04/201037,37,02/04/2010,63.43,2.719,209.594,8.464,39910
02/04/20106,6,02/04/2010,64.94,2.719,212.332,7.092,202505
02/04/201041,41,02/04/2010,41.31,2.725,189.705,7.363,196321
02/04/201043,43,02/04/2010,62.19,2.719,202.838,9.593,41062
02/04/201040,40,02/04/2010,41.39,2.826,131.902,5.435,155083
02/04/201024,24,02/04/2010,45.22,2.957,131.902,8.211,203819
02/04/20101,1,02/04/2010,62.27,2.719,210.82,7.808,151315
02/04/201035,35,02/04/2010,46.9,2.85,135.746,9.051,103681
