Store,Date,Temp_Fahrenheit,Fuel_Price_$,Consumer_Price_Index_CPI,Unemployment_Pct,Size_Sq_ft
21,01/10/2010,70.28,2.603,211.33,8.163,140167
44,01/10/2010,68.74,2.853,126.235,7.61,39910
22,01/10/2010,69.31,2.717,136.63,8.572,119557
12,01/10/2010,85.2,3.001,126.235,14.313,112238
1,01/10/2010,71.89,2.603,211.672,7.838,151315
30,01/10/2010,70.28,2.603,211.33,8.163,42988
27,01/10/2010,70.19,2.84,136.63,8.021,204184
32,01/10/2010,66.14,2.759,190.674,9.137,203007
16,01/10/2010,59.39,2.759,190.674,6.986,57197
15,01/10/2010,59.69,2.84,132.757,8.067,123737
33,01/10/2010,91.45,3.001,126.235,9.265,39690
7,01/10/2010,49.99,2.759,190.674,9.137,70713
19,01/10/2010,59.91,2.84,132.757,8.067,203819
3,01/10/2010,73.6,2.603,214.985,7.564,37392
39,01/10/2010,72.74,2.603,210.44,8.476,184109
36,01/10/2010,74.66,2.567,210.44,8.476,39910
6,01/10/2010,70.69,2.603,213.191,7.007,202505
34,01/10/2010,70.13,2.619,126.235,10.21,158114
26,01/10/2010,57.8,2.717,132.757,8.149,152513
14,01/10/2010,70.58,2.707,182.717,8.724,200898
23,01/10/2010,62.07,2.717,132.757,5.287,114533
10,01/10/2010,86.01,3.001,126.235,9.003,126512
29,01/10/2010,69.31,2.717,132.757,10.524,93638
2,01/10/2010,69.24,2.603,211.33,8.163,202307
4,01/10/2010,63.96,2.619,126.235,7.127,205863
20,01/10/2010,61.08,2.707,204.885,7.484,203742
8,01/10/2010,68.7,2.603,215.031,6.433,155078
9,01/10/2010,69.08,2.603,215.214,6.56,125833
5,01/10/2010,71.1,2.603,212.227,6.768,34875
24,01/10/2010,66.88,2.84,132.757,8.275,203819
31,01/10/2010,70.28,2.603,211.33,8.163,203750
45,01/10/2010,70.58,2.707,182.717,8.724,118221
37,01/10/2010,74.66,2.603,210.44,8.476,39910
13,01/10/2010,68.74,2.853,126.235,7.795,219622
40,01/10/2010,62.01,2.717,132.757,5.287,155083
42,01/10/2010,86.01,3.001,126.235,9.003,39690
38,01/10/2010,85.2,3.001,126.235,14.313,39690
35,01/10/2010,70.19,2.707,136.63,8.763,103681
17,01/10/2010,60.07,2.853,126.235,6.885,93188
41,01/10/2010,62.67,2.759,190.674,7.508,196321
25,01/10/2010,57.56,2.707,204.885,7.484,128107
18,01/10/2010,67.76,2.717,132.757,9.331,120653
28,01/10/2010,85.2,3.001,126.235,14.313,206302
11,01/10/2010,75.11,2.603,214.985,7.564,207499
43,01/10/2010,77.93,2.603,203.593,10.21,41062
15,02/04/2010,45.27,2.957,131.902,8.185,123737
23,02/04/2010,40.5,2.826,131.902,5.435,114533
33,02/04/2010,66.79,3.086,126.603,9.849,39690
9,02/04/2010,65.21,2.719,214.347,6.384,125833
12,02/04/2010,59.84,3.086,126.603,14.099,112238
29,02/04/2010,44.96,2.826,131.902,10.16,93638
10,02/04/2010,63.66,3.086,126.603,9.524,126512
28,02/04/2010,59.84,3.086,126.603,14.099,206302
3,02/04/2010,65.56,2.719,214.118,7.343,37392
20,02/04/2010,51.0,2.85,204.025,7.856,203742
39,02/04/2010,63.31,2.719,209.594,8.464,184109
5,02/04/2010,63.18,2.719,211.373,6.465,34875
34,02/04/2010,50.07,2.74,126.603,9.593,158114
42,02/04/2010,63.66,3.086,126.603,9.524,39690
22,02/04/2010,44.96,2.826,135.746,8.348,119557
2,02/04/2010,63.27,2.719,210.48,8.2,202307
27,02/04/2010,46.9,2.957,135.746,8.058,204184
21,02/04/2010,64.12,2.719,210.48,8.2,140167
30,02/04/2010,64.12,2.719,210.48,8.2,42988
31,02/04/2010,64.12,2.719,210.48,8.2,203750
45,02/04/2010,47.74,2.85,181.866,8.899,118221
18,02/04/2010,45.63,2.826,131.902,9.269,120653
25,02/04/2010,47.2,2.85,204.025,7.856,128107
37,02/04/2010,63.43,2.719,209.594,8.464,39910
6,02/04/2010,64.94,2.719,212.332,7.092,202505
41,02/04/2010,41.31,2.725,189.705,7.363,196321
43,02/04/2010,62.19,2.719,202.838,9.593,41062
40,02/04/2010,41.39,2.826,131.902,5.435,155083
24,02/04/2010,45.22,2.957,131.902,8.211,203819
1,02/04/2010,62.27,2.719,210.82,7.808,151315
35,02/04/2010,46.9,2.85,135.746,9.051,103681
32,02/04/2010,48.28,2.725,189.705,8.963,203007
7,02/04/2010,38.26,2.725,189.705,8.963,70713
19,02/04/2010,45.26,2.957,131.902,8.185,203819
16,02/04/2010,36.19,2.725,189.705,6.842,57197
13,02/04/2010,42.15,2.842,126.603,8.107,219622
26,02/04/2010,36.53,2.826,131.902,8.512,152513
44,02/04/2010,42.15,2.842,126.603,7.972,39910
17,02/04/2010,36.94,2.842,126.603,6.635,93188
36,02/04/2010,63.43,2.708,209.594,8.464,39910
4,02/04/2010,48.77,2.74,126.603,7.896,205863
8,02/04/2010,60.18,2.719,214.164,6.29,155078
11,02/04/2010,66.16,2.719,214.118,7.343,207499
38,02/04/2010,59.84,3.086,126.603,14.099,39690
14,02/04/2010,47.74,2.85,181.866,8.899,200898
37,02/07/2010,81.85,2.669,209.984,8.36,39910
18,02/07/2010,71.22,2.815,132.522,9.342,120653
17,02/07/2010,68.98,2.814,126.139,6.697,93188
9,02/07/2010,78.55,2.669,214.777,6.442,125833
31,02/07/2010,82.29,2.669,210.88,8.099,203750
11,02/07/2010,83.09,2.669,214.546,7.346,207499
21,02/07/2010,82.29,2.669,210.88,8.099,140167
15,02/07/2010,66.13,2.958,132.522,8.099,123737
45,02/07/2010,76.61,2.815,182.319,8.743,118221
6,02/07/2010,80.34,2.669,212.747,6.973,202505
2,02/07/2010,82.74,2.669,210.88,8.099,202307
44,02/07/2010,78.82,2.814,126.139,7.804,39910
32,02/07/2010,74.74,2.728,189.488,9.017,203007
30,02/07/2010,82.29,2.669,210.88,8.099,42988
20,02/07/2010,70.1,2.815,204.465,7.527,203742
16,02/07/2010,64.44,2.728,189.488,6.868,57197
33,02/07/2010,97.66,2.978,126.139,9.495,39690
4,02/07/2010,73.66,2.668,126.139,7.372,205863
7,02/07/2010,61.31,2.728,189.488,9.017,70713
10,02/07/2010,92.89,2.978,126.139,9.199,126512
38,02/07/2010,91.98,3.105,126.139,14.18,39690
29,02/07/2010,72.88,2.815,132.522,10.409,93638
